DepMap_ID	ATXN3 (4287)	ATXN3L (92552)	BAP1 (8314)	BRCC3 (79184)	COPS5 (10987)	COPS6 (10980)	CYLD (1540)	EIF3F (8665)	EIF3H (8667)	JOSD1 (9929)	JOSD2 (126119)	MINDY1 (55793)	MINDY2 (54629)	MINDY3 (80013)	MINDY4 (84182)	MPND (84954)	MYSM1 (114803)	OTUB1 (55611)	OTUB2 (78990)	OTUD1 (220213)	OTUD3 (23252)	OTUD4 (54726)	OTUD5 (55593)	OTUD6A (139562)	OTUD6B (51633)	OTUD7A (161725)	OTUD7B (56957)	OTULIN (90268)	OTULINL (54491)	PAN2 (9924)	PRPF8 (10594)	PSMD14 (10213)	PSMD7 (5713)	STAMBP (10617)	STAMBPL1 (57559)	TNFAIP3 (7128)	UCHL1 (7345)	UCHL3 (7347)	UCHL5 (51377)	USP1 (7398)	USP10 (9100)	USP11 (8237)	USP12 (219333)	USP13 (8975)	USP14 (9097)	USP15 (9958)	USP16 (10600)	USP18 (11274)	USP19 (10869)	USP2 (9099)	USP20 (10868)	USP21 (27005)	USP22 (23326)	USP24 (23358)	USP25 (29761)	USP26 (83844)	USP27X (389856)	USP28 (57646)	USP29 (57663)	USP3 (9960)	USP30 (84749)	USP31 (57478)	USP32 (84669)	USP33 (23032)	USP34 (9736)	USP35 (57558)	USP36 (57602)	USP37 (57695)	USP38 (84640)	USP39 (10713)	USP4 (7375)	USP40 (55230)	USP42 (84132)	USP43 (124739)	USP44 (84101)	USP45 (85015)	USP46 (64854)	USP47 (55031)	USP48 (84196)	USP49 (25862)	USP5 (8078)	USP50 (373509)	USP51 (158880)	USP53 (54532)	USP54 (159195)	USP6 (9098)	USP7 (7874)	USP8 (9101)	USP9X (8239)	USPL1 (10208)	VCPIP1 (80124)	YOD1 (55432)	ZRANB1 (54764)	ZUP1 (221302)	
ACH-000004	-0.019904439463189854		-0.6631481044398729		-1.7128028398839679	-1.9320324958154635	-0.2915658046664371	-1.0074122795829947	-0.9932761417785492	-0.2834143458567113	0.29285910251089425	-0.3745833466539234	-0.4318474578379295	0.022276380545452668	0.022223221791621617	-0.15197770568556945	0.18535719977786647	-0.3559629285544147	0.20673929319756928	0.14796022520784108	-0.0997607708766785	0.10506448601100747			0.19880293965198892	-0.2891129884609835	0.2927621280603437	-0.10780638468720716	0.15582491793959755	-0.07562317235884676	-2.174926986056551	-2.150372847391627	-2.0562593742389463	-0.3258178763448227	-0.0975976163396912	0.2434749268885835	-0.1408286561046653	-0.3442844339720426	-0.4172713513508322	-0.1968495495593817	-0.6391640893967303		0.2206596591681325	-0.21175779885048296	-0.9951427107262996	0.03841862683158093	-0.045645363390495707	-0.40196607143655017	-0.5471621448701411	-0.11080524988129403	-0.18022338500139606	-0.3762035352408599	0.33139518041657184	-0.3837683548824646	0.15174617871854168			0.037498849989946494	0.3889805174171933	-0.3652505116491172	-0.2853471081566193	0.10880563170951728	0.07054987570112205	-0.2286044371366769	-0.1534333676173873	-0.1748566761571506	-1.1747130799176584	-0.5499504921243475	0.08413294447737568	-0.4443521081399708	-0.2170074661040811	0.014325098720812753	0.10335527842496424	0.12568680776254046	-0.09110880143378723	0.07457844550230504	-0.017303503247101403	-0.10504966297938216	-0.015496790799982618	0.09844238029757292	-1.154812447439836	-0.5313687642838993		-0.2770836008532422	0.12610211295040472	-0.4044898315920353	-1.0594369809413182	-1.2798991925734289		-0.6984095965477765	-0.6953749120488643	-0.1136088305851286	-0.016548627489891176	-0.1625280006647181	
ACH-000005	-0.024660323272063543	0.35331451778169154	-0.6146427641327703	0.2952080678522332	-1.4664932103084982	-2.1743128010282446	-0.2468368333306445	-1.6724462318153073	-0.7192974098607492	-0.5342730084731907	0.09753695634166247	-0.0918690786866469	-0.2645480905254068	0.12222243668377558	0.3347853229222519	-0.38082623957693096	0.18548653700628348	-0.2686466580711893	0.270347145919517	0.33337674276195745	0.04601216525620542	0.193075305605315	-0.2950002996462325	-0.171386485939339	-0.016255867240647315	0.033725953528004365	0.08897058956828978	-0.02898461669353792	0.08855286522637205	-0.03869172023445347	-2.3396462404284515	-1.7606141530775041	-2.4743402299326878	0.04262609961658776	0.11971348219497445	0.41649199581104535	-0.19286165403457176	-0.1641074365995776	-0.31709367616034545	-0.4679836334549865	-0.6947627529544439	0.06458146085009643	0.15095397324109722	-0.2650018048006655	-0.5187835213289764	-0.16956919725469732	-0.17027898552087645	-0.5573191295704754	-0.3016184819118882	-0.16237793179799406	-0.1193511462198112	0.005892480937506872	0.367585737574844	-0.6618734228578363	0.2465211162055416	0.4183580918816406	0.09220037825570697	0.20242950594869585	0.12827598933659815	0.040039144143561835	0.05448242187969651	0.07651712308733416	-0.3445104397330331	-0.21712817286825145	-0.011481631233178795	-0.13265277436289913	-1.1940651094630537	-0.5449083549772801	-0.022688768283745338	-0.5694990771440683	-0.488605520821077	0.05809557958934165	-0.007325826924102995	0.08881054804360408	-0.26087148718283604	0.10473045970661808	-0.033103226518389886	-0.28536821403600776	0.07723494979452859	-0.20130570638334824	-1.3043839803114292	-0.21888024072237086	-0.04004734602493073	-0.16956475628411868	-0.20545548703775066	-0.3239315253724013	-0.7155502429243575	-0.9042794544535728	-0.319982169873897	-0.8268226934430333	-0.6141756371721933	0.03319296874238746	-0.0877666169040418	-0.2298265494013737	
ACH-000007	0.2758390204302236	0.4802459220184874	-0.8962478194247863	0.06441596340393155	-1.2487594148035015	-1.6661431696708018	-0.29453221077391584	-1.2026606909283235	-1.134351039994056	-0.35290588493194913	0.2402924562895903	-0.2944074703190207	-0.4588329432813251	0.16459588708166406	0.07664327410645153	-0.2908253867871321	-0.1886749399016796	0.05110801792494403	0.16995662810604936	-0.016624739926503238	-0.06746053334274375	-0.11085751522066643	-0.4227523811591106	0.1444831285160224	-0.3307856763563909	-0.2490381623578365	0.31771306229570395	0.010619202231679385	0.1033536173668078	0.02281425011236921	-1.487927276810359	-1.846415913245179	-1.8711268373359475	-0.3744532996297981	-0.06411549362767595	0.08448327452304763	0.11049594003862633	-0.5336078797893081	-0.9481083802672606	-0.4609792213219173	-0.6361610629716886	0.04982827877110476	0.1762755887602894	-0.09375702057831624	-0.25758057806644263	0.17201360214950512	-0.07278039583892745	-0.0723534281895561	-0.3388237418890281	-0.047159188569582566	-0.030683491602542686	-0.19825968108779035	0.16484277547958798	-0.0684731431628961	0.14239319651004753	0.08418169445589364	0.20916975048220074	-0.017751707514745682	0.4262768941231989	0.17536586136142165	0.027042362891374308	0.07508616722134423	-0.25380708776691663	-0.15570709240239047	-0.0914653297846462	-0.2998309510761749	-1.4646389445232413	-0.6465806527721978	-0.017609976387697863	-0.3500446729583981	-0.4699442624721789	-0.02402574187715158	0.013369143801828562	0.21657907638494284	-0.19424777621699044	0.17191770942696008	-0.03816907995085792	-0.32417440893413346	-0.1050115516656911	0.04020792129956277	-1.5207226944202556	-0.08134017769749151	-0.003267537149828713	-0.11151344925046074	0.10879316670072146	-0.41488892819366174	-1.2460246443728245	-0.9322977983607492	-1.0813014360490296	-0.9450829020796676	-0.2884979277167116	-0.043325978919252855	-0.011253085657095992	-0.10594767626014896	
ACH-000009	-0.06855456090305533	0.2834098533187065	-0.6113043219738012	0.055076444420472416	-1.5741974417107003	-1.5512642789917401	-0.20529572841674448	-1.2118820668298675	-1.10832570593413	-0.2208653795324028	0.1023096772026454	-0.6884193231517757	-0.5931599944318574	0.2352996093844995	0.068604229998728	-0.15473387986849804	-0.046311172713854105	0.15778536420322747	0.0183898513447838	-0.0069100324003188145	-0.020521664023862848	-0.019019237065075783	-0.5105093787769867	0.0570415605832488	-0.10758845464314117	-0.2942549618548281	0.021459866065796543	-0.1970275025585548	0.1843266333493972	-0.09471889367834596	-1.5920015265264222	-1.9279079905829584	-1.8462317614294141	-0.29852150466471217	0.014748149549392409	0.13835591846664913	-0.1041384913299448	-0.08536514910835115	-0.3536352606010469	-0.28102555283832475	-0.5678252286297358	0.22550976010580284	0.09464809587595464	-0.0710631863037291	-0.26320865167524465	0.07515993685128664	-0.05792520119633696	-0.3756185056984197	-0.4397559742232869	-0.09130001881509407	-0.17085569195646036	-0.44509769732279897	-0.20580003563754493	-0.2819026510261909	0.033739556600595126	0.07420658344966041	0.12320494449650912	-0.09846552715768928	0.15079326091253845	-0.17041059212128498	-0.13825612532762638	0.18906084318806216	-0.2784182342795598	-0.28708742473006704	-0.3372478274196553	-0.14192840137769094	-1.4424722789827449	-0.9215851680042048	-0.2073849809366595	-0.7179006239052385	-0.3452710075634234	0.053152919971426384	-0.003322547294571845	0.0448686148383289	-0.19758445705360567	0.16553076099389807	0.10671322487510274	-0.16742278283483494	-0.0842609142006882	-0.07346403878720775	-1.2258399263024862	-0.4615715816515177	-0.003282493103590034	-0.14405585199084187	0.08154449179809471	-0.386160531385694	-0.3867121682404669	-0.8484849527238593	-0.037050976592980116	-1.0820708191010686	-0.347056949426663	-0.13906222059321124	-0.17747922498372698	0.090968587231733	
ACH-000011	0.14617686797306992	0.3615279417150614	-0.8653365059180773	0.256777180898605	-1.3333574585101748	-1.9222037021692795	0.18152786803741106	-1.301722981417963	-1.3489167905750767	-0.3163940121001907	0.1430537552707233	-0.5409056276146832	-0.7458973922036735	0.05515556317762884	0.17240439966364854	-0.12822203138403016	0.12901332203815324	0.2760858847810487	0.19952388659532336	0.051319266200927034	-0.005579404464364596	-0.0612513979123863	-0.7353747798813016	-0.029563743656789192	-0.1366351688380949	-0.03939295813515216	0.17846507457242589	0.06564397916554318	0.10340459079228016	-0.5294037545382438	-1.637471573803306	-1.9822802894908016	-2.331898244633793	-0.22183602590503226	-0.14534246835672607	0.32112164801253185	-0.0863625293219262	-0.6250265085486156	-0.7545017432276949	-0.3782068262181132	-1.1790482836862308	0.18316813871943874	-0.016167834601733596	0.11829940070618708	-0.0202577883574586	0.1895645413457853	-0.3993244315240319	-0.4037738404249713	-0.3488926475633409	-0.1641214411983884	-0.03049765913278085	-0.3711864541747791	0.08653120403784824	-0.2950102029360817	0.07374394512702295	0.14975577261358394	0.13444840706001612	0.4232514816391448	0.3243811665688633	0.2187900717479865	0.022981751607713943	0.11517175048793254	-0.6321875059974288	-0.23295130582674425	0.5267038449606359	-0.22159660839798706	-1.426180120287494	-0.8741986687196894	-0.08006366929422677	-0.3228611517446248	-0.18564569717929968	0.05921693091099025	-0.08398896477654151	-0.03217750519026358	-0.029642470511316577	0.0007375953344095857	0.050055685381845655	-0.29212159096666546	-0.048536956194587776	0.0919261609446759	-1.5183322986217036	-0.03655236076791949	-0.2405913546094358	-0.30082651163207297	-0.10439262196177544	-0.3197587176260065	-1.3218328330427884	-0.7196199921436013	-1.1881016233092567	-0.7771689987991947	-0.5390159326984653	0.05141610230784393	-0.09471892241936436	0.07696359932479692	
ACH-000012	-0.20935504438202385	0.3787325172816779	-0.8966479923637829	0.02741513605287964	-1.4452012760919923	-1.691098748770887	-0.20786006986959946	-0.9885042388088684	-0.8108785804152068	-0.20581546510386173	0.1647217257322069	-0.4662375667488953	-0.3091881593728162	0.15709414060147578	0.10016966694520774	-0.1943203166967546	0.1515712941712167	-0.1969888488638432	0.25058690671615685	0.11735583969182173	-0.09306241306051938	0.08077948873019644	0.20691958985261694	0.025035163253122883	-0.08021298374197587	-0.09490096931178114	0.1453847822131644	-0.1765845212738623	0.07064588354447891	-0.08542694321148303	-1.5033438985367034	-1.7861453075619205	-1.9870100550095355	-1.0640804237332842	-0.08562645847526246	-0.036938359936533854	0.02166293445333505	-0.13336157538938512	-0.6845779995588089	-0.5410651579599289	-0.5690388043462676	0.0675108017530244	0.1570122001547075	-0.01727541451566708	-0.1959117239128748	-0.4836314630398877	-0.1678252891953266	-0.5483535008492365	-0.5626486763118774	-0.20121839487338367	-0.26697347942577165	-0.33981922269368425	0.2349222216255631	-0.2475503807625041	-0.1706822905506071	0.23387848293194025	0.1720833409156329	-0.035189818637929166	0.23358203635663186	-0.14374262922992082	-0.1480819475298617	0.11391790124339672	-0.08068784496879637	-0.1860854535173944	-0.2508854002117605	-0.4279127171708232	-1.3313798448156875	-0.7291851021789816	-0.26496386019108925	-0.7409525940909149	-0.22289718236276546	0.04411417827557352	-0.0074215751162749685	0.18241059724153125	-0.1868405675872177	0.1100829010049248	0.08215673277209297	-0.002694919188443448	0.0016219448970030404	0.06573126689618075	-1.211098939835716	-0.15491272023800726	-0.02852256876545722	-0.18868483732335928	0.006209557981726024	-0.24156220679494664	-0.940355658734794	-1.0972020827271156	-1.3451644002229342	-1.4528892502411586	-0.4734247524481189	-0.004093258403105046	0.0059417010028126795	0.031704845215400235	
ACH-000013	-0.09096375324316347	0.2898697288987804	-0.8032576732457405	0.05325593978335672	-1.3708071078765791	-1.7852104473642587	-0.18051033364759567	-0.8328581626907026	-1.0638803244533666	-0.1814675366816003	0.06279450359142219	-0.4746940254642094	-0.5944578222933438	0.1793804237562946	0.09330257317074728	-0.25442555469963296	-0.02854282194177158	-0.189390454661644	0.08409206081569884	0.03036779897545805	-0.04559166258207617	0.07951134912813364	-0.2562033067793401	-0.07713595468679599	-0.015456593099452106	-0.03960873362643744	0.13360291277787026	-0.02181245462506869	0.18110094519018666	-0.1420260622995147	-1.8240438517455573	-1.9708037392709383	-2.1148466449947843	-0.3422831191952776	-0.03708229083217544	0.06301608977485139	-0.09737797685077702	-0.003373025331406424	-0.6851656909513687	-0.37811594582300095	-0.4533794500417956	0.2394193166486397	0.089318401154063	-0.01405976483856173	0.2497312342964186	0.11010522192304036	0.0659912337009453	-0.1850373363608036	-0.34906950622248945	0.02256776349143732	-0.2661751039899873	-0.1557661564675396	-0.09137967202971684	-0.2622561584580366	0.003628618266880305	0.2694768979218857	0.1479512920645953	-0.0369050063638519	0.1506787542904901	-0.03235605757859481	-0.14397104013542794	0.06095250775314706	-0.07383908971188219	-0.2556069686065466	-0.09588027315026756	-0.4794670785307147	-1.3031089960770976	-0.7964650950905091	0.03030467137941016	-0.4254312956345217	-0.29804658010279755	-0.012390712076440087	0.10123689077253288	0.024936860557240703	-0.22326287399900288	0.09011494181835172	0.08818778444270335	-0.18402574575962802	0.21719927131633296	-0.0020460911796802714	-1.5420284801732669	-0.24941273330091296	-0.03293212103956668	-0.07213191618369627	0.11509493532355533	-0.4441797787352814	-0.9697297633783458	-0.6153107993305045	-1.0050654388296956	-1.103862265948114	-0.4533747766909024	0.040234549352266114	-0.2298556256785053	0.0269219386313258	
ACH-000014	0.15029917571688992		-0.6362836361778998		-1.4500970210708977	-1.553197352837859	0.27477888163061137	-1.1208041050962962	-1.1920336880052145	-0.3906579055021024	0.1964462409299909	-0.4530402256412593	-0.4359752527081433	0.16800487288870133	-0.025823486046111423	-0.04412755160333478	-0.164504075743718	0.3068253814206929	0.11470193507259616	-0.09515520727490212	-0.2647913407067341	0.13530704571667698			-0.18907055943697013	0.0862700667334993	-0.2557140518654132	-0.1479124456313909	0.21851042582507024	-0.3675234065009417	-1.7422603296695636	-2.149924503759644	-2.120090526088468	-0.4731348194765258	-0.06556993133734118	0.924433850688162	0.201760340230104	-0.2280787023675299	-0.2460982881783729	-0.29510271745865185	-0.5124401738349791		-0.061449626475302124	0.0973026534259352	0.0938369852379978	0.2374237061049251	-0.029783976801718143	-0.2813881329454891	-0.2394019725471249	-0.23726722801556466	0.02127191733666135	-0.2529943108142924	0.4217066789690328	-0.2040050541643394	0.3509881271107832			0.6270820382301975	0.4815987279788262	0.07407020481777142	-0.094186196160252	-0.05057749112503946	-0.30509579148282706	-0.2509794225192915	-0.2970320920223979	-0.0012998880482251553	-1.3212953689786076	-0.3184609249266083	-0.3976858364309248	-0.2990343569357107	-0.3058267388646289	-0.054108465468640635	0.08778162930018936	-0.07733198566266253	0.041789153194940136	0.06264126046376775	0.1472288883868434	-0.09990987839363227	0.13435635270845167	-0.059128229070073236	-1.4328564338293401	-0.10438626299126244		-0.20580732866411525	0.06844220774295247	-0.19084911397303286	-0.9473200784745334	-0.8588546710009138		-0.5489979737916126	-0.5855883225853544	0.0555955990503324	-0.09676129444673594	-0.02567718106477759	
ACH-000015	0.1006754382496972	0.3188775792454186	-0.4434975029735425	-0.015484626645895115	-1.5698914090798304	-1.8615800642616365	-0.2421897005146	-0.8710323551046926	-0.9083928956618368	-0.4225960917537506	-0.059047199963663415	-0.2792776201949614	-0.5321994502916115	0.12300640352242175	-0.011068947461085872	-0.3101006714965297	-0.13698502967020648	-0.15130894435977313	0.11224735174126416	0.07042868911315878	-0.09036949773708122	-0.035186306183515544	-0.4903083806232413	-0.0004525069159284788	-0.14207021804369266	-0.059599960879188285	0.06123799790105351	0.06994442660472924	0.11511804598846236	-0.5135298808664192	-1.6648823433518372	-1.7522633262938483	-1.837533716470472	-0.34813177311623816	0.02830279287335549	0.041302275678168084	-0.14085873469219712	-0.14571663127457432	-0.645368991562401	-0.07333862111740304	-0.5468149377595268	0.17500700194215066	0.12455104759761886	0.0579535875735785	0.016635801853066387	-0.11680996639922198	0.10526170203873828	-0.6200944679824756	-0.503544887963242	-0.17720457015248126	-0.14291290204831075	-0.19730865262475128	-0.17457958639025406	-0.3617653321154908	0.0006493760319587293	0.1949115110724033	0.2834583050385847	0.05857868456414848	0.05291231817498799	0.24082289989386998	-0.06798008376380528	-0.12958279312040047	-0.19303151811018399	-0.30165424333080804	-0.05799117225916869	-0.18056042197218947	-1.1671124652818186	-0.21834829916842585	-0.08814770635571212	-0.5264144862011128	-0.2555944037723292	0.011591223901583559	0.17707757884849878	0.006881576644681953	-0.15695252317184571	0.20545426465628608	0.05771868746601085	0.0057522407270628045	0.15117431844925286	0.14237409908169615	-1.2828272691532927	-0.16581700533600294	-0.0884329341607209	-0.3096496168586072	0.03354259507421065	-0.32916635317892656	-1.1152034867942884	-0.9148830282360948	-1.089297244665996	-1.1022365038191322	-0.4427313026375802	0.09554447732335644	-0.033784764137504905	0.005535306617025858	
ACH-000017	-0.06880311402193176	0.3721911781674513	-0.9419072007696522	0.3216893630294215	-1.547892718277552	-1.5319662281190822	-0.2698823604215551	-1.0497675416204086	-0.6521096681743954	-0.30577873863197697	0.2089471734200931	0.4523938028781574	-0.5824556451393399	0.3306094849714712	0.004395937173391989	-0.5043797588875896	0.17931843794215893	-0.03789557436775134	0.24794549953443906	0.08543203552060287	0.06504979909793915	-0.08760780054213604	-0.3657996482577937	-0.008057375713885784	-0.2541371378422959	0.0556290370064133	0.2784814288297517	-0.04509825585350573	0.11352019968045544	-0.18834512737581802	-1.9095851348334625	-2.083197744638268	-2.1708844882487788	-0.12241721314922327	-0.10718886869635956	0.1037717500818042	-0.016660123045363174	-0.11438528133554762	-0.7762903504409383	-0.3241305939693431	-0.573919752865344	0.15262224234904614	0.1389470645692613	-0.008715202680333963	-0.21184638749462129	-0.3537528793976573	-0.08979503709750086	-0.2259309994215956	-0.6055912490647231	-0.08446775040228613	-0.029513299589907636	-0.3089286175621192	-0.44430604374866106	-0.12172210528164475	0.11823381826818327	0.2650260703546456	0.20770418449622927	0.023661217411111168	0.3452575343119956	-0.2464615492566733	0.0949424229117083	0.10635863829589873	0.022982118863818585	-0.18534160129467486	-0.10898754565268144	-0.533558778423277	-1.1038442103711508	-0.12575614335195898	-0.25888892400864016	-0.6843310047574388	-0.28940906145435896	0.14191363227230658	0.1028798807843558	0.12114380571956615	-0.0486340888701453	0.04678411366533467	-0.006365257959394207	-0.08810453644219939	0.12557668613642564	-0.022089304571611658	-1.5121348834290365	-0.05093293894261936	0.06815292637569675	-0.17366590230361928	-0.012363426678370627	-0.2329815237162629	-1.1739198755016431	-1.0637592180050748	-0.6799165335699983	-0.8395399831232321	-0.5963753069260177	-0.1756571351465155	-0.4871037140472631	0.0262375764699416	
